"type","name","label","label..Arabic","relevant","constraint","required","repeat_count","constraint_message","constraint_message..Arabic","read_only","appearance","choice_filter","default","calculation","hint","hint..Arabic"
"integer","spices_condiments","Condiments / Spices: tea, coffee / cocoa, salt, garlic, spices, yeast / baking powder, lanwin, tomato / sauce, meat or fish as a condiment, condiments including small amount of milk / tea coffee.","التوابل / البهارات: الشاي ، القهوة / الكاكاو ، الملح ، الثوم ، البهارات ، الخميرة / مسحوق الخبز ، اللانوين ، الطماطم / الصلصة ، اللحم أو السمك كبهار ، التوابل بما في ذلك كمية صغيرة من القهوة / الشاي.","",".>=0 and .<=7","yes","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","food_source","What was the main source of the following food in the past 7 days? (do not read out list)","ماذا كان المصدر الرئيسي للطعام خلال ال 7 ايام الماضية؟ ( لا تقرأ من القائمة ) ","","","","","","",NA,"","",NA,"","",""
"select_one food_source","cereals_source","Cereals, grains, roots and tubers: rice, pasta, bread, potato, ","الحبوب والجذور والدرنات: الأرز والمعكرونة والخبز والبطاطا","${cereals} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","nuts_seed_source","Legumes / nuts : beans, peanuts, lentils, nut, soy, and / or other nuts","البقوليات : الفاصوليا ، الفول السوداني ، العدس ، البندق ، الصويا ، و / أو المكسرات الأخرى","${nuts_seed} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","milk_dairy_source","Milk and other dairy products: fresh milk / sour, yogurt, cheese, other dairy products (Exclude margarine / butter or small amounts of milk for tea / coffee)","الحليب ومنتجات الألبان الأخرى: الحليب الطازج / الحامض واللبن الزبادي والجبن وغيرها من منتجات الألبان (باستثناء المارجرين / الزبد أو كميات صغيرة من الحليب للشاي / القهوة)","${milk_dairy} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","meat_source","Meat, fish and eggs: goat, beef, chicken, , fish, including canned tuna, and / or other seafood, eggs (meat and fish consumed in large quantities and not as a condiment)","اللحوم والأسماك والبيض: لحم الماعز ولحم البقر والدجاج والأسماك ، بما في ذلك التونة المعلبة ، و / أو غيرها من المأكولات البحرية والبيض (اللحوم والأسماك المستهلكة بكميات كبيرة وليس بهار)","${meat} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","vegetables_source","Vegetables and leaves: spinach, onion, tomatoes, carrots, peppers, green beans, lettuce, cabbages, egg plants, etc","الخضار و الخضروات الورقية: السبانخ ، البصل ، الطماطم ، الجزر ، الفلفل ، الفاصوليا الخضراء ، الخس ، الكرنب ، الباذنجان ، الخ","${vegetables} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","fruits_source","Fruits: banana, apple, lemon, mango, watermelon, apricot, peach, pineapple, passion, gishta, orange, avocado, wild fruits etc","الفواكه: الموز والتفاح والليمون والمانجو والبطيخ والمشمش والخوخ والأناناس والبرتقال والأفوكادو والفاكهة البرية الخ","${fruits} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","oil_fats_source","Oil / fat / butter: vegetable oil, palm oil, margarine, other fats / oil","الزيوت / الدهون / الزبدة: الزيت النباتي وزيت النخيل والسمن والدهون الأخرى / الزيت","${oil_fats} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","sweets_source","Sugar, or sweet: sugar, honey, jam, cakes, candy, cookies, pastries, cakes and other sweet (sugary drinks)","السكر ، أو الحلو: السكر ، والعسل ، والمربى ، والكعك ، والحلوى  وغيرها من الحلويات (المشروبات السكرية)","${sweets} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"select_one food_source","spices_condiments_source","Condiments / Spices: tea, coffee / cocoa, salt, garlic, spices, yeast / baking powder, lanwin, tomato / sauce, meat or fish as a condiment, condiments including small amount of milk / tea coffee.","التوابل / البهارات: الشاي ، القهوة / الكاكاو ، الملح ، الثوم ، البهارات ، الخميرة / مسحوق الخبز ، اللانوين ، الطماطم / الصلصة ، اللحم أو السمك كبهار ، التوابل بما في ذلك كمية صغيرة من القهوة / الشاي.","${spices_condiments} > 0","","yes","","","",NA,"minimal","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"text","cereals_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${cereals_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","nuts_seed_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${nuts_seed_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","milk_dairy_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${milk_dairy_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","meat_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${meat_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","vegetables_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${vegetables_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","fruits_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${fruits_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","oil_fats_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${oil_fats_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","sweets_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${sweets_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"text","spices_condiments_source_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${spices_condiments_source}, 'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","access_to_PDS","Did your household have access to PDS (public distribution assisstance System) in the past 3 months?","هل تمكنت أسرتك من الوصول إلى نظام المساعدات العامة للتوزيع (PDSالبطاقة التموينية) خلال الـ 3 أشهر الماضية؟","","","yes","","","",NA,"","",NA,"","",""
"select_one freq","PDS_assistance_freq","How regularly do you receive PDS assistance?","مامدى انتظام تلقيك لمساعدات البطاقة التموينية PDS؟","selected(${access_to_PDS}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"select_multiple pds_items","recent_PDS_items","What items were included in your most recent PDS distribution? ","ما هي المواد التي حصلت عليها في آخر توزيع للبطاقة التموينية PDS الخاصة بك؟","selected(${access_to_PDS}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"text","recent_PDS_items_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${recent_PDS_items}, 'other')","","yes","","","",NA,"","",NA,"","",""
"begin group","coping_strategies_index","During the last 7 days, how many times (in days) did your household have to employ one of the following strategies to cope with a lack of food or money to buy it?","خلال الأيام السبعة الماضية ، كم عدد المرات (بالأيام) التي كان يتعين على أسرتك استخدام إحدى الاستراتيجيات التالية للتعامل مع نقص الغذاء أو المال لشرائها؟","","","","","","",NA,"field-list","",NA,"","",""
"integer","cheaper_quality","Shifting toward cheaper and less quality food items.","العمل على شراء مواد غذائية  رخيصة او اقل نوعية","",".>=0 and .<=7","yes","","","",NA,"","",NA,"","",""
"integer","borrowing","Borrowing food or asking assistance from relatives and friends","اقتراض الطعام أو طلب المساعدة من الأقارب والأصدقاء","",".>=0 and .<=7","yes","","","",NA,"","",NA,"","",""
"integer","reduce_meals","Reducing the number of daily meals","تقليل عدد الوجبات اليومية","",".>=0 and .<=7","yes","","","",NA,"","",NA,"","",""
"integer","less_food","Consume less food during meals","استهلاك كمية أقل من الطعام أثناء الوجبات","",".>=0 and .<=7","yes","","","",NA,"","",NA,"","",""
"integer","less_adult","Curbing the adult's need to ensure food need of children","الحد من حاجة الكبار لضمان الحاجة الغذائية للأطفال...","",".>=0 and .<=7","yes","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","coping_strategies_food2","Coping Strategies Food","","","","","","","",NA,"field-list","",NA,"","",""
"note","livelihood_strategies","During the past 30 days, did anyone in your household have to do one of the following things because there was not enough food or money to buy it?","خلال الثلاثين يومًا الماضية ، هل اضطر أي شخص في منزلك إلى القيام بأحد الأمور التالية لعدم وجود ما يكفي من الطعام أو المال لشرائه؟","","","","","","",NA,"","",NA,"","",""
"select_one NNNY","selling_assets","Selling household properties (refrigerator, television, jewelry…)","بيع مقتنيات الاسرة (ثلاجة او تلفاز او مجوهرات)","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","spent_savings","Spending savings","انفاق المدخرات","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","borrow_debt","Buying food on credit or through borrowed money from relatives and friends","شراء الطعام بالدّين أو من خلال الأموال المقترضة من الأقارب والأصدقاء","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","selling_transportation_means","Selling means of transport (car, motorbike","بيع وسائل النقل (سيارة ، دراجة نارية","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","child_droput_school","Children dropout from school","اخراج الأطفال من المدرسة","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","reduce_spending","Reducing expenditure on non-food items (health, education)","خفض الإنفاق على المواد غير الغذائية (الصحة والتعليم)","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","change_place","Changing place of residence and accommodation to reduce expenses","تغيير مكان الإقامة لتقليل النفقات","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","male_illigal_acts","Accepting that adult males of the family are engaged in illegal acts and risks","القبول بمشاركة الذكور البالغين من الأسرة في أعمال ومخاطر غير قانونية","","","","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","female_illigal_acts","Accepting that adult females of the family are engaged in illegal acts and risks","القبول بمشاركة الاناث البالغات من الأسرة في أعمال ومخاطر غير قانونية","","","","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","child_work","Children under 18 work to provide resources","عمل الأطفال تحت سن 18 عامًا لتوفير الموارد","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","family_migrating","Whole family are migrating","ستهاجر العائلة كلها","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","social_events","Attending banquets held on religious and social events to have food","حضور الولائم التي تقام في المناسبات الدينية والاجتماعية للحصول على الطعام","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","child_marriage","Child marriage","الزواج المبكر للاطفال","","","yes","","","",NA,"minimal","",NA,"","",""
"select_one NNNY","forced_marriage","Forced marriage (for adults)","الزواج القسري (للبالغين)","","","yes","","","",NA,"minimal","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"end group","","Health survey","","","","","","","",NA,"","",NA,"","",""
"begin group","health_group","Health","الصحة","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_one distance","distance_health_service","How far is the closest functioning, accessible health clinic to your location?","كم يبعد  أقرب عيادة صحية تعمل ويمكن الوصول إليها في موقعك؟","","","yes","","","",NA,"","",NA,"","30 minutes walking = 2 km (approximately)","دقيقة مشي أي مايعادل 2كم بشكل تقريبي30  "
"select_one distance_h","distance_hospital","How far is the closest functioning hospital to your location? ","كم يبعد أقرب مستشفى يعمل إلى موقعك؟","","","yes","","","",NA,"","",NA,"","30 minutes walking = 2 km (approximately)","دقيقة مشي أي مايعادل 2كم بشكل تقريبي30  "
"select_one YND","hospital_emergency_ser","Does it provide emergency services? ","هل يقدم المشفى خدمات للطوارئ؟","not(selected(${distance_hospital},'none') or selected(${distance_hospital},'do_not_know'))","","yes","","","",NA,"","",NA,"","",""
"select_one YND","hospital_surgical_ser","Does it provide surgical services? ","هل يقدم المشفى خدمات عمليات؟","not(selected(${distance_hospital},'none') or selected(${distance_hospital},'do_not_know'))","","yes","","","",NA,"","",NA,"","",""
"select_one YND","hospital_pediatric_ser","Does it provide pediatric services?","هل يقدم المشفى خدمات طب الاطفال؟","not(selected(${distance_hospital},'none') or selected(${distance_hospital},'do_not_know'))","","yes","","","",NA,"","",NA,"","",""
"select_one management","primary_health_provider","Who is the primary health care provider for your household?","من الذي يقدم الرعاية الصحية لأسرتك بشكل رئيسي؟","","","yes","","","لا يجوز تحديد لا احد مع الخيارات الاخرى",NA,"","",NA,"","",""
"text","primary_health_provider_other","If other, please specify","اذا اخرى الرجاء الوصف","selected(${primary_health_provider},'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","women_specialised_services","Do women of reproductive age (12-49) have access to specialized reproductive health services? ","هل تحصل النساء في سن الإنجاب (12-49) سنة على خدمات الصحة الانجابية المتخصصة لهم؟","","","yes","","","",NA,"","",NA,"","",""
"text","primary_health_provider_pregnant_other","if other, please specify","اذا اخرى الرجاء الوصف","selected(${women_specialised_services},'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","child_distress","Have you seen signs of distress such as changes in behaviours in family members below the age of 18 since the conflict began?","هل شاهدت علامات الشدة مثل التغيرات في سلوكيات أفراد الأسرة الذين تقل أعمارهم عن 18 عامًا منذ بدء النزاع؟","${tot_child} >0","","yes","","","",NA,"","",NA,"","",""
"select_multiple behavior_change","behavior_012","If yes, what are the behaviour changes observed in children aged 0-12?","إذا كانت الإجابة بنعم ، ما هي التغييرات السلوكية التي لوحظت في الأطفال الذين تتراوح أعمارهم بين 0-12؟","selected(${child_distress},'yes') and  (${tot_child_012} >0)","","yes","","","",NA,"","",NA,"","",""
"select_multiple behavior_change","behavior_1317","If yes, what are the behaviour changes observed in children aged 13-17?","إذا كانت الإجابة بنعم ، ما هي التغييرات السلوكية التي لوحظت في الأطفال الذين تتراوح أعمارهم بين 13-17؟","selected(${child_distress},'yes') and  (${tot_child_1317} >0)","","yes","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","wash","WASH survey","الماء والاصحاح البيئي","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_one water_source","drinking_water_source","What has been your household's primary source of drinking water over the past 7 days?","ما ذا كان المصدر الرئيسي لأسرتك لمياه الشرب خلال ال7 ايام الماضية؟","","","yes","","","",NA,"","",NA,"","",""
"text","drinking_water_source_other","If other, please specify","اذا اخرى الرجاء الوصف","selected(${drinking_water_source},'other')","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","access_private_shared_watertank","Does your household own either a private or shared water tank?","هل تمتلك أسرتك خزان مياه خاص أو مشترك؟","","","yes","","","",NA,"","",NA,"","",""
"integer","tank_capacity","What is your water tank capacity (in liters)?","ما هي سعة خزان المياه (باللتر)؟","selected(${access_private_shared_watertank},'yes')","","yes","","","",NA,"","",NA,"","Provide and estimate, if the respondend doesn't know input ""999""","اكتب العدد بشكل تقريبي، اما اذا كان المجيب لا يدري، فيجب كتابة 999"
"integer","refill_times","How many times do you re-fill your tanks each week?","كم مرة تقوم بإعادة ملء خزانات المياه خلال الاسبوع الواحد؟","selected(${access_private_shared_watertank},'yes')","","yes","","","",NA,"","",NA,"","Provide and estimate, if the respondend doesn't know input ""999""","اكتب العدد بشكل تقريبي، اما اذا كان المجيب لا يدري، فيجب كتابة 999"
"integer","people_share_tank","How many people share this water tank?","عدد الأشخاص الذين يشتركون في أستخدام خزان المياه هذا ( بما فيهم افراد أسرتك)","selected(${access_private_shared_watertank},'yes')","","yes","","","",NA,"","",NA,"","Provide and estimate, if the respondend doesn't know input ""999""","اكتب العدد بشكل تقريبي، اما اذا كان المجيب لا يدري، فيجب كتابة 999"
"select_multiple safer_drinking","treat_drink_water_how","How do you treat your water for drinking?","كيف تعالج (تقوم بتصفية) مياه الشرب الخاصة بك؟","not(selected(${drinking_water_source},'shop'))","","yes","","","",NA,"","",NA,"","",""
"text","treat_drink_water_how_other","If other, please describe","اذا اخرى الرجاء الوصف","selected(${treat_drink_water_how}, 'other')","","yes","","","",NA,"","",NA,"","",""
"select_one waste_disposal","dispose_waste","What is the main method of waste disposal for your household?","ماهي الطريقة الرئيسية التي تتبعها أسرتك للتخلص من النفايات؟","","","yes","","","",NA,"","",NA,"","",""
"text","dispose_waste_other","If other , please specify","اذا اخرى الرجاء الوصف","selected(${dispose_waste}, 'other')","","yes","","","",NA,"","",NA,"","",""
"select_one waste_disposal_freq","waste_freq","How frequently is solid waste disposed from your residence?","كل كم مرة يتم التخلص من النفايات الصلبة في موقعك ؟","","","yes","","","",NA,"","",NA,"","",""
"select_multiple latrines","latrines","What types of functional toilets do you have access to?","مانوع المراحيض الفعالة المتاحة لكم؟","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","access_hygiene_items","Do you have access to sufficient hygiene items such as soap, diapers, etc.?","هل أن مواد النظافة الكافية متاحة لك (مثل الصابون ، ومناشف الأطفال ، وما إلى ذلك)؟","","","yes","","","",NA,"","",NA,"","",""
"select_one Yes_No","hygiene_practices","Are you aware of key hygiene practices? ","هل أنت على دراية بممارسات النظافة الأساسية ؟","","","yes","","","",NA,"","",NA,"","Such as proper handwashing with soap, clean latrines, safe food / water storage","مثل غسل اليدين بشكل صحيح بالصابون ، والمراحيض النظيفة ، وتخزين الطعام بشكل آمن"
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","S_NFI","Shelter & NFI survey","السكن والمواد الغير غذائية","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_one settlement_type","settlement_type","What is the type of settlement where you are currently living?","مانوع المكان الذي تعيش فيه حاليا؟","","","yes","","","",NA,"","",NA,"","",""
"select_one shelter_type","shelter_type","What type of shelter are you currently living in?","مانوع المسكن الذي تعيش فيه حاليا؟","","","yes","","","",NA,"","",NA,"","",""
"text","shelter_type_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${shelter_type}, 'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","hh_hosted","Is your HH currently being hosted? ","هل اسرتك مستضافة عند عائلة او اسرة؟","${calc_idp} = 1 or ${calc_returnee} = 1 or selected(${shelter_type}, 'House') or selected(${shelter_type}, 'Apartment')
","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","hh_risk_eviction","Is your HH presently at risk of eviction?","هل اسرتك مهددة بالاخلاء في الوقت الحاضر؟","","","yes","","","",NA,"","",NA,"","",""
"note","ref_evic","This is household is presently at risk of eviction, please refer to the appropiate actor.","","selected(${hh_risk_eviction}, 'yes')","","","","","",NA,"","",NA,"","",""
"select_multiple eviction","hh_main_risks","What are the main reasons of eviction?","ماهي الاسباب الرئيسية للإخلاء بالنسبة للاسرة؟","selected(${hh_risk_eviction}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"text","hh_main_risks_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${hh_main_risks}, 'other')","","yes","","","",NA,"","",NA,"","",""
"integer","rent_behind","If you are not up to date with rent payment, how many months of delay do you have?","اذا لم تكن تدفع الايجار في وقته، كم عدد الشهور المتأخر عنها في دفع الايجار؟(كم شهر لم تدفع الايجار)","selected(${hh_main_risks}, 'lack_funds')",".>0 and .<=24","yes","","","",NA,"","",NA,"","",""
"select_one rent_labour","labour_for_rent","Do you receive reduced rent or free accommodation in exchange for labour? ","هل تحصل على إيجار منخفض أو سكن مجاني مقابل العمل؟","selected(${shelter_type}, 'House') or selected(${shelter_type}, 'Apartment')","","yes","","","",NA,"","",NA,"","",""
"select_multiple shelter_issues","shelter_issues","What immediate issues are you facing with your current shelter (top 3)?","ما هي القضايا الفورية التي تواجهها مع مسكنك الحالي ؟ حدد اهم ثلاثة","","count-selected(.)<=3","yes","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"text","shelter_issues_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${shelter_issues}, 'other')","","","","","",NA,"","",NA,"","",""
"note","ref_mine","This household's shelter is reported to be contaminated from explosive hazards, please refer to appropiate actor.","اذا كان مسكن الاسرة يعاني من وجود مواد خطرة متفجرة، الرجاء الالرجوع الى الجهة الملائمة لذلك","selected(${shelter_issues},'uxo')","","","","","",NA,"","",NA,"","",""
"select_one agreement","shelter_agreement_type","What type of tenancy agreement do you have in your current shelter?","مانوع العقد المبرم الذي لديك بالنسبة لمسكنك؟ ( عقد كتابي او شفهي او ملك خاص)","","","yes","","","",NA,"","",NA,"","",""
"select_multiple nfi_needs","nfi_priority_needs","Which of the following NFIs are priority needs for your household? (select max. 4)","أي من المواد غير الغذائية التالية تعتبر احتياجات رئيسية لأسرتك؟ (احدد 4 كحد اقصى )","","not(selected(.,'none') and count-selected(.)>1) and count-selected(.)<=4","yes","","You can select max 4 option and cannot select ""None"" and any other option.","لا ينبغي تحديد ( لاشيئ ) مع خيار آخر",NA,"","",NA,"","",""
"text","nfi_priority_needs_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${nfi_priority_needs}, 'other')","","yes","","","",NA,"","",NA,"","",""
"select_multiple shelter_better","shelter_better","What is your priority concern to make your current shelter a better place to live (top 3)?","ما هي اهتماماتك ذات الأولوية القصوى لجعل مسكنك الحالي مكانًا أفضل للعيش فيه ؟ اختر اهم 3","","count-selected(.)<=3","","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"text","shelter_better_other","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${shelter_better}, 'other')","","yes","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","education","Education survey","التعليم","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_one place","primary_school_place","How far is the closest functioning primary school to your location?","كم تبعد اقرب مدرسة ابتدائية تعمل في موقعك؟","","","yes","","","",NA,"","",NA,"","30 minutes walking = 2 km (approximately)","دقيقة مشي أي مايعادل 2كم بشكل تقريبي30  "
"select_one place1","secondary_school_place","How far is the closest functioning secondary school to your location?","كم تبعد اقرب مدرسة متوسطة تعمل في موقعك؟","","","yes","","","",NA,"","",NA,"","30 minutes walking = 2 km (approximately)","دقيقة مشي أي مايعادل 2كم بشكل تقريبي30  "
"select_multiple condition","primary_school_condition","What is the condition of the primary school building? ","كيف هي حالة مبنى المدرسة الابتدائية؟","not(selected(${primary_school_place}, 'none') or selected(${primary_school_place}, 'do_not_know'))","","yes","","","",NA,"","",NA,"","",""
"select_multiple condition","secondary_school_condition","What is the condition of the secondary school building? ","كيف هي حالة مبنى المدرسة المتوسطة؟","not(selected(${secondary_school_place}, 'none') or selected(${secondary_school_place}, 'do_not_know'))","","yes","","","",NA,"","",NA,"","",""
"note","ref_school","The primary or secondary school this household might have access to contains explosive hazards, please refer to the appropiate actor.","اذا كانت المدرسة الابتدائية او المتوسطة التي ترتادها الاسرة تحتوي على مواد متفجرة خطرة، فيجب الرجوع الى جهة ملائمة لذلك","selected(${primary_school_condition},'Contains_explosive_hazards') or selected(${secondary_school_condition},'Contains_explosive_hazards')","","","","","",NA,"","",NA,"","",""
"select_one YND","staff_primary_school","Are there sufficient trained and certified teachers at the primary school?","هل يوجد مدرسون مختصون ومدربون وكافون في المدرسة الابتدائية؟","not(selected(${primary_school_place}, 'none') or selected(${primary_school_place}, 'do_not_know')) and selected(${primary_school_condition},'Partially_damaged_but_functional') or selected(${primary_school_condition}, 'Fully_functional')","","yes","","","",NA,"","",NA,"","",""
"select_one YND","staff_secondary_school","Are there sufficient trained and certified teachers at the secondary school?","هل يوجد مدرسون مختصون ومدربون وكافون في المدرسة المتوسطة؟","not(selected(${secondary_school_place}, 'none') or selected(${secondary_school_place}, 'do_not_know')) and  selected(${secondary_school_condition},'Partially_damaged_but_functional') or selected(${secondary_school_condition}, 'Fully_functional')","","yes","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","livelihoods","Livelihoods survey","الحياة المعيشية","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_multiple livelihood_type","primary_livelihood","What were your household's primary income sources over the last 30 days?  (do not read out from list)","ماذا كانت مصادر الدخل الأساسية للاسرة الخاصة بك على مدى 30 يوما الماضية؟ (3 كحد اقصى) ( لا تقرأ من القائمة )","","","yes","","Cannot select ""None"" together with any other option","لا ينبغي تحديد ( لاشيئ ) مع خيار آخر",NA,"","",NA,"","",""
"text","primary_livelihood_other","if other, specify please","إذا أخرى, الرجاء الشرح","selected(${primary_livelihood},'other')","","yes","","","",NA,"","",NA,"","",""
"begin group","income","What was your household's total income in Iraqi Dinars over the last 30 days from the following sources:","ما هو إجمالي دخل أسرتك بالدينار العراقي خلال الثلاثين يومًا الماضية من المصادر التالية:","","","","","","",NA,"field-list","",NA,"","Please enter the FULL IQD amount (i.e. 1,000 IQD)","الرجاء ادخال الرقم بشكل كامل بالدينار العراقي ( مثال: 1000 دينار)"
"integer","inc_employment","Employment","التوظيف","selected(${primary_livelihood},'Employment')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_remittances","Remittances","التحويلات/الحوالات","selected(${primary_livelihood},'Remittences')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_humaid","Humanitarian aid","المساعدات الإنسانية","selected(${primary_livelihood},'NGO_charity_assistance')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_debt","Borrowing money","اقتراض المال","selected(${primary_livelihood},'Loan_debts')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_pension","Pension","راتب تقاعد","selected(${primary_livelihood},'Retirement_pension')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_selling_assets","Selling household assets","بيع أثاث المنزل","selected(${primary_livelihood},'Selling_assets')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_momd","MOMD cash assistance","مساعدة نقدية من وزارة الهجرة والمهجرين","selected(${primary_livelihood},'MODM_cash_assistance')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_molsa","Social Protection Network (MOLSA)","شبكة الحماية الاجتماعية (MOLSA)","selected(${primary_livelihood},'Social_service')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_other_safety","Other safety nets","برامج الشبكات الآمنة الأخرى","selected(${primary_livelihood},'Social_service')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","inc_other","Other income source","مصدر دخل آخر","selected(${primary_livelihood},'other')",".=0 or .>=9999  and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"calculate","tot_income","","","","","","","","",NA,"","",NA,"coalesce(${inc_employment},0)+coalesce(${inc_remittances},0)+coalesce(${inc_humaid},0)+coalesce(${inc_debt},0)+coalesce(${inc_pension},0)+coalesce(${inc_selling_assets},0)+coalesce(${inc_momd},0)+coalesce(${inc_molsa},0)+coalesce(${inc_other_safety},0)+coalesce(${inc_other},0)","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"note","income_note","Total income in IQDs over the last 30 days: ${tot_income}","مجموع الدخل بالدينار العراقي خلال ال30 يوما الماضية هو  ${tot_income}","","","","","","",NA,"","",NA,"","",""
"select_multiple employment","employment_source","What were the main sources of occupation / employment? ","ماذا كانت المصادر الرئيسية للعمل او الوظيفة؟","selected(${primary_livelihood},'Employment')","","yes","","","",NA,"","",NA,"","",""
"text","employment_source_other","if other, specify please","إذا أخرى, الرجاء الشرح","selected(${employment_source},'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","employment_seasonal","Is this employment seasonal/temporary? ","هل هذه الوظيفة مؤقتة او موسمية؟","selected(${primary_livelihood},'Employment')","","yes","","","",NA,"","",NA,"","",""
